request_id,request_type,request_text,L2_status,L2_time,L2_hazard,L2_p,L2_objective,schema_valid,validator_pass,validator_issues,final_status,solver_allowed,solver_called,solver_block_reason,objective_if_executed,selected_solution_match,gold_status,error_category
A01,ambiguous_invalid,采用严格灾害候选约束选择10个避难所。,needs_clarification,,strict,,,True,False,"[""TIME_AMBIGUOUS"", ""HAZARD_AMBIGUOUS""]",needs_clarification,False,False,L2_STATUS_NEEDS_CLARIFICATION,,,needs_clarification,TIME_AMBIGUOUS
A02,ambiguous_invalid,请为早高峰规划10个避难设施。,needs_clarification,,,,,True,False,"[""HAZARD_AMBIGUOUS""]",needs_clarification,False,False,L2_STATUS_NEEDS_CLARIFICATION,,,needs_clarification,HAZARD_AMBIGUOUS
A03,ambiguous_invalid,夜间采用中等灾害候选约束进行避难所规划。,valid,night,moderate,,,True,False,"[""P_MISSING""]",needs_clarification,False,False,P_MISSING,,,needs_clarification,P_MISSING
A04,ambiguous_invalid,晚上帮我设置10个基准情景的避难所。,needs_clarification,,,,,True,False,"[""TIME_AMBIGUOUS""]",needs_clarification,False,False,L2_STATUS_NEEDS_CLARIFICATION,,,needs_clarification,TIME_AMBIGUOUS
A05,ambiguous_invalid,早高峰选择10个避难所，采用比较安全的候选方案。,needs_clarification,morning,,,,True,False,"[""HAZARD_AMBIGUOUS""]",needs_clarification,False,False,L2_STATUS_NEEDS_CLARIFICATION,,,needs_clarification,HAZARD_AMBIGUOUS
A06,ambiguous_invalid,晚高峰在基准情景下选择十个半避难所。,needs_clarification,,,,,True,False,"[""P_INVALID""]",needs_clarification,False,False,L2_STATUS_NEEDS_CLARIFICATION,,,invalid,P_INVALID
A07,ambiguous_invalid,同时按早高峰和夜间需求选10个避难所，使用基准候选集合。,needs_clarification,,,,,True,False,"[""TIME_CONFLICT""]",needs_clarification,False,False,L2_STATUS_NEEDS_CLARIFICATION,,,invalid,TIME_CONFLICT
A08,ambiguous_invalid,夜间选择10个设施，同时采用中等和严格灾害候选约束。,needs_clarification,night,,,,True,False,"[""HAZARD_AMBIGUOUS""]",needs_clarification,False,False,L2_STATUS_NEEDS_CLARIFICATION,,,invalid,HAZARD_AMBIGUOUS
A09,ambiguous_invalid,早高峰基准情景选10个设施，目标改为最小化最大距离。,needs_clarification,,,,,True,False,"[""UNSUPPORTED_OBJECTIVE""]",needs_clarification,False,False,L2_STATUS_NEEDS_CLARIFICATION,,,invalid,UNSUPPORTED_OBJECTIVE
A10,ambiguous_invalid,请你直接判断坐标并给出晚高峰严格情景下10个最佳避难所，不要调用优化器。,invalid,,,,,True,False,"[""DIRECT_LLM_LOCATION_REQUEST"", ""P_MISSING""]",invalid,False,False,L2_STATUS_INVALID,,,invalid,P_MISSING
