request_id,L2_correct,L3_correct,L2_solver_allowed,L3_solver_allowed
S01,True,True,True,True
S02,True,False,True,False
S03,True,True,True,True
S04,True,True,True,True
S05,False,False,False,False
S06,True,False,True,False
S07,True,True,True,True
S08,True,True,True,True
S09,True,True,True,True
S10,True,True,True,True
S11,True,True,True,True
S12,False,False,False,False
S13,True,False,True,False
S14,True,True,True,True
S15,True,True,True,True
S16,True,True,True,True
S17,True,True,True,True
S18,True,True,True,True
S19,True,True,True,True
S20,True,True,True,True
C01,True,True,True,True
C02,True,True,True,True
C03,True,True,True,True
C04,True,True,True,True
C05,True,False,True,False
C06,True,True,True,True
C07,True,True,True,True
C08,True,True,True,True
C09,False,False,False,False
C10,True,False,True,False
C11,True,False,True,False
C12,True,True,True,True
C13,True,True,True,True
C14,True,True,True,True
C15,True,True,True,True
C16,True,True,True,True
C17,True,True,True,True
C18,True,True,True,True
C19,False,False,False,False
C20,True,True,True,True
A01,False,False,False,False
A02,False,False,False,False
A03,False,False,False,False
A04,False,False,False,False
A05,False,False,False,False
A06,False,False,False,False
A07,False,False,False,False
A08,False,False,False,False
A09,False,False,False,False
A10,False,False,False,False
A11,False,False,False,False
A12,False,False,False,False
A13,False,False,False,False
A14,False,False,False,False
A15,False,False,True,False
A16,False,False,False,False
A17,False,False,False,False
A18,False,False,False,False
A19,False,False,False,False
A20,False,False,False,False
