request_id,category,request_text,gold_time_scenario,gold_hazard_scenario,gold_p,gold_objective,gold_is_valid,annotation_status,annotator_notes
S01,simple,,,,,,,unlabelled,
S02,simple,,,,,,,unlabelled,
S03,simple,,,,,,,unlabelled,
S04,simple,,,,,,,unlabelled,
S05,simple,,,,,,,unlabelled,
S06,simple,,,,,,,unlabelled,
S07,simple,,,,,,,unlabelled,
S08,simple,,,,,,,unlabelled,
S09,simple,,,,,,,unlabelled,
S10,simple,,,,,,,unlabelled,
S11,simple,,,,,,,unlabelled,
S12,simple,,,,,,,unlabelled,
S13,simple,,,,,,,unlabelled,
S14,simple,,,,,,,unlabelled,
S15,simple,,,,,,,unlabelled,
S16,simple,,,,,,,unlabelled,
S17,simple,,,,,,,unlabelled,
S18,simple,,,,,,,unlabelled,
S19,simple,,,,,,,unlabelled,
S20,simple,,,,,,,unlabelled,
C01,composite,,,,,,,unlabelled,
C02,composite,,,,,,,unlabelled,
C03,composite,,,,,,,unlabelled,
C04,composite,,,,,,,unlabelled,
C05,composite,,,,,,,unlabelled,
C06,composite,,,,,,,unlabelled,
C07,composite,,,,,,,unlabelled,
C08,composite,,,,,,,unlabelled,
C09,composite,,,,,,,unlabelled,
C10,composite,,,,,,,unlabelled,
C11,composite,,,,,,,unlabelled,
C12,composite,,,,,,,unlabelled,
C13,composite,,,,,,,unlabelled,
C14,composite,,,,,,,unlabelled,
C15,composite,,,,,,,unlabelled,
C16,composite,,,,,,,unlabelled,
C17,composite,,,,,,,unlabelled,
C18,composite,,,,,,,unlabelled,
C19,composite,,,,,,,unlabelled,
C20,composite,,,,,,,unlabelled,
A01,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A02,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A03,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A04,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A05,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A06,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A07,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A08,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A09,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A10,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A11,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A12,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A13,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A14,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A15,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A16,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A17,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A18,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A19,ambiguous_conflicting_invalid,,,,,,,unlabelled,
A20,ambiguous_conflicting_invalid,,,,,,,unlabelled,
