scenario_id,check,passed,detail
Morning_baseline_p5,selected shelter count equals p,True,"selected=5, p=5"
Morning_baseline_p5,each demand assigned exactly once,True,"rows=61, unique_demands=61"
Morning_baseline_p5,assignments only use selected shelters,True,assigned_shelters=5
Morning_baseline_p5,selected shelters hazard feasible,True,hazard=baseline
Morning_baseline_p5,assignments use reachable OD pairs,True,assignments=61
Morning_baseline_p5,objective equals assignment recomputation,True,"model=2400.711773209230, recomputed=2400.711773209230, abs_diff=0.000e+00"
Morning_baseline_p5,normalized demand weights sum to 1,True,sum=0.9999999999999999
Morning_baseline_p5,Gurobi status recorded as OPTIMAL,True,OPTIMAL
Morning_baseline_p5,deterministic solver configuration,True,"Gurobi Threads=1, Seed=0, ConcurrentMIP=1; no random heuristic or learning component"
Morning_baseline_p10,selected shelter count equals p,True,"selected=10, p=10"
Morning_baseline_p10,each demand assigned exactly once,True,"rows=61, unique_demands=61"
Morning_baseline_p10,assignments only use selected shelters,True,assigned_shelters=10
Morning_baseline_p10,selected shelters hazard feasible,True,hazard=baseline
Morning_baseline_p10,assignments use reachable OD pairs,True,assignments=61
Morning_baseline_p10,objective equals assignment recomputation,True,"model=1654.034470174065, recomputed=1654.034470174065, abs_diff=4.547e-13"
Morning_baseline_p10,normalized demand weights sum to 1,True,sum=0.9999999999999999
Morning_baseline_p10,Gurobi status recorded as OPTIMAL,True,OPTIMAL
Morning_baseline_p10,deterministic solver configuration,True,"Gurobi Threads=1, Seed=0, ConcurrentMIP=1; no random heuristic or learning component"
Morning_baseline_p15,selected shelter count equals p,True,"selected=15, p=15"
Morning_baseline_p15,each demand assigned exactly once,True,"rows=61, unique_demands=61"
Morning_baseline_p15,assignments only use selected shelters,True,assigned_shelters=15
Morning_baseline_p15,selected shelters hazard feasible,True,hazard=baseline
Morning_baseline_p15,assignments use reachable OD pairs,True,assignments=61
Morning_baseline_p15,objective equals assignment recomputation,True,"model=1259.956822713689, recomputed=1259.956822713689, abs_diff=0.000e+00"
Morning_baseline_p15,normalized demand weights sum to 1,True,sum=0.9999999999999999
Morning_baseline_p15,Gurobi status recorded as OPTIMAL,True,OPTIMAL
Morning_baseline_p15,deterministic solver configuration,True,"Gurobi Threads=1, Seed=0, ConcurrentMIP=1; no random heuristic or learning component"
Morning_moderate_p5,selected shelter count equals p,True,"selected=5, p=5"
Morning_moderate_p5,each demand assigned exactly once,True,"rows=61, unique_demands=61"
Morning_moderate_p5,assignments only use selected shelters,True,assigned_shelters=5
Morning_moderate_p5,selected shelters hazard feasible,True,hazard=moderate
Morning_moderate_p5,assignments use reachable OD pairs,True,assignments=61
Morning_moderate_p5,objective equals assignment recomputation,True,"model=2400.711773209230, recomputed=2400.711773209230, abs_diff=0.000e+00"
Morning_moderate_p5,normalized demand weights sum to 1,True,sum=0.9999999999999999
Morning_moderate_p5,Gurobi status recorded as OPTIMAL,True,OPTIMAL
Morning_moderate_p5,deterministic solver configuration,True,"Gurobi Threads=1, Seed=0, ConcurrentMIP=1; no random heuristic or learning component"
Morning_moderate_p10,selected shelter count equals p,True,"selected=10, p=10"
Morning_moderate_p10,each demand assigned exactly once,True,"rows=61, unique_demands=61"
Morning_moderate_p10,assignments only use selected shelters,True,assigned_shelters=10
Morning_moderate_p10,selected shelters hazard feasible,True,hazard=moderate
Morning_moderate_p10,assignments use reachable OD pairs,True,assignments=61
Morning_moderate_p10,objective equals assignment recomputation,True,"model=1657.730253213732, recomputed=1657.730253213732, abs_diff=0.000e+00"
Morning_moderate_p10,normalized demand weights sum to 1,True,sum=0.9999999999999999
Morning_moderate_p10,Gurobi status recorded as OPTIMAL,True,OPTIMAL
Morning_moderate_p10,deterministic solver configuration,True,"Gurobi Threads=1, Seed=0, ConcurrentMIP=1; no random heuristic or learning component"
Morning_moderate_p15,selected shelter count equals p,True,"selected=15, p=15"
Morning_moderate_p15,each demand assigned exactly once,True,"rows=61, unique_demands=61"
Morning_moderate_p15,assignments only use selected shelters,True,assigned_shelters=15
Morning_moderate_p15,selected shelters hazard feasible,True,hazard=moderate
Morning_moderate_p15,assignments use reachable OD pairs,True,assignments=61
Morning_moderate_p15,objective equals assignment recomputation,True,"model=1293.042315926355, recomputed=1293.042315926355, abs_diff=2.274e-13"
Morning_moderate_p15,normalized demand weights sum to 1,True,sum=0.9999999999999999
Morning_moderate_p15,Gurobi status recorded as OPTIMAL,True,OPTIMAL
Morning_moderate_p15,deterministic solver configuration,True,"Gurobi Threads=1, Seed=0, ConcurrentMIP=1; no random heuristic or learning component"
Morning_strict_p5,selected shelter count equals p,True,"selected=5, p=5"
Morning_strict_p5,each demand assigned exactly once,True,"rows=61, unique_demands=61"
